run_id,family,os_target,link_type,network_condition,delay_ms,jitter_ms,loss_pct,video_transport,capture_backend,gst_protocol,gst_latency_ms,alert_transport,alert_protocol,alert_qos,tc_apply,tc_clear,command
video_linux_ethernet_clean_rtsp_tcp,video_network,linux,ethernet,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_clean_rtsp_tcp"
video_linux_ethernet_clean_rtsp_udp,video_network,linux,ethernet,clean,0,0,0.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_clean_rtsp_udp"
video_linux_ethernet_moderate_rtsp_tcp,video_network,linux,ethernet,moderate,80,25,1.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 80ms 25ms loss 1.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_moderate_rtsp_tcp"
video_linux_ethernet_moderate_rtsp_udp,video_network,linux,ethernet,moderate,80,25,1.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 80ms 25ms loss 1.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_moderate_rtsp_udp"
video_linux_ethernet_severe_rtsp_tcp,video_network,linux,ethernet,severe,200,75,5.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 200ms 75ms loss 5.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_severe_rtsp_tcp"
video_linux_ethernet_severe_rtsp_udp,video_network,linux,ethernet,severe,200,75,5.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 200ms 75ms loss 5.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_ethernet_severe_rtsp_udp"
alert_linux_ethernet_websocket,alert_transport,linux,ethernet,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,websocket,websocket,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport websocket --qos 0 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_ethernet_websocket/alert_latency.csv
alert_linux_ethernet_mqtt_qos0,alert_transport,linux,ethernet,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,mqtt_qos0,mqtt,0,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport mqtt --qos 0 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_ethernet_mqtt_qos0/alert_latency.csv
alert_linux_ethernet_mqtt_qos1,alert_transport,linux,ethernet,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,mqtt_qos1,mqtt,1,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport mqtt --qos 1 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_ethernet_mqtt_qos1/alert_latency.csv
video_linux_wifi_clean_rtsp_tcp,video_network,linux,wifi,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_clean_rtsp_tcp"
video_linux_wifi_clean_rtsp_udp,video_network,linux,wifi,clean,0,0,0.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_clean_rtsp_udp"
video_linux_wifi_moderate_rtsp_tcp,video_network,linux,wifi,moderate,80,25,1.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 80ms 25ms loss 1.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_moderate_rtsp_tcp"
video_linux_wifi_moderate_rtsp_udp,video_network,linux,wifi,moderate,80,25,1.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 80ms 25ms loss 1.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_moderate_rtsp_udp"
video_linux_wifi_severe_rtsp_tcp,video_network,linux,wifi,severe,200,75,5.0,rtsp_tcp,gstreamer,tcp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 200ms 75ms loss 5.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol tcp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_severe_rtsp_tcp"
video_linux_wifi_severe_rtsp_udp,video_network,linux,wifi,severe,200,75,5.0,rtsp_udp,gstreamer,udp,50,none,none,,sudo tc qdisc replace dev eth0 root netem delay 200ms 75ms loss 5.0%,sudo tc qdisc del dev eth0 root,"python3 Phase_3_Fusion_MultiCam/run_live_campaign.py --versions V4 --models yolov8s --formats fp32_engine --cameras cam_02,cam_03,cam_05,cam_07 --duration-min 10 --device cuda:0 --record-fps 25 --object-min-camera-votes 2 --capture-backend gstreamer --gst-protocol udp --gst-latency-ms 50 --gst-pipeline decodebin --no-ffmpeg-fallback --no-display --out-dir Phase_4_Network_Latency/runs/video_linux_wifi_severe_rtsp_udp"
alert_linux_wifi_websocket,alert_transport,linux,wifi,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,websocket,websocket,,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport websocket --qos 0 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_wifi_websocket/alert_latency.csv
alert_linux_wifi_mqtt_qos0,alert_transport,linux,wifi,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,mqtt_qos0,mqtt,0,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport mqtt --qos 0 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_wifi_mqtt_qos0/alert_latency.csv
alert_linux_wifi_mqtt_qos1,alert_transport,linux,wifi,clean,0,0,0.0,rtsp_tcp,gstreamer,tcp,50,mqtt_qos1,mqtt,1,sudo tc qdisc del dev eth0 root,sudo tc qdisc del dev eth0 root,python3 Phase_4_Network_Latency/alert_delivery_benchmark.py --transport mqtt --qos 1 --events 500 --rate-hz 25 --out Phase_4_Network_Latency/runs/alert_linux_wifi_mqtt_qos1/alert_latency.csv
