threshold_cm,threshold_m,frames,predicted_links,unique_global_ids,global_id_switches,alerts,mode
50,0.5,4954,0,47,73,18017,operational_no_truth_id
100,1.0,4954,0,47,73,18017,operational_no_truth_id
150,1.5,4954,0,47,73,18017,operational_no_truth_id
200,2.0,4954,0,47,73,18017,operational_no_truth_id
50,0.5,0,0,0,49,11586,operational_no_truth_id
100,1.0,0,0,0,49,11586,operational_no_truth_id
150,1.5,0,0,0,49,11586,operational_no_truth_id
200,2.0,0,0,0,49,11586,operational_no_truth_id
50,0.5,0,0,0,54,10001,operational_no_truth_id
100,1.0,0,0,0,54,10001,operational_no_truth_id
150,1.5,0,0,0,54,10001,operational_no_truth_id
200,2.0,0,0,0,54,10001,operational_no_truth_id
50,0.5,0,0,0,38,9946,operational_no_truth_id
100,1.0,0,0,0,38,9946,operational_no_truth_id
150,1.5,0,0,0,38,9946,operational_no_truth_id
200,2.0,0,0,0,38,9946,operational_no_truth_id
50,0.5,0,0,0,51,9108,operational_no_truth_id
100,1.0,0,0,0,51,9108,operational_no_truth_id
150,1.5,0,0,0,51,9108,operational_no_truth_id
200,2.0,0,0,0,51,9108,operational_no_truth_id
50,0.5,3,0,1,25,1063,operational_no_truth_id
100,1.0,3,0,1,25,1063,operational_no_truth_id
150,1.5,3,0,1,25,1063,operational_no_truth_id
200,2.0,3,0,1,25,1063,operational_no_truth_id
50,0.5,0,0,0,22,2822,operational_no_truth_id
100,1.0,0,0,0,22,2822,operational_no_truth_id
150,1.5,0,0,0,22,2822,operational_no_truth_id
200,2.0,0,0,0,22,2822,operational_no_truth_id
50,0.5,0,0,0,50,10495,operational_no_truth_id
100,1.0,0,0,0,50,10495,operational_no_truth_id
150,1.5,0,0,0,50,10495,operational_no_truth_id
200,2.0,0,0,0,50,10495,operational_no_truth_id
50,0.5,0,0,0,60,10270,operational_no_truth_id
100,1.0,0,0,0,60,10270,operational_no_truth_id
150,1.5,0,0,0,60,10270,operational_no_truth_id
200,2.0,0,0,0,60,10270,operational_no_truth_id
50,0.5,0,0,0,45,1829,operational_no_truth_id
100,1.0,0,0,0,45,1829,operational_no_truth_id
150,1.5,0,0,0,45,1829,operational_no_truth_id
200,2.0,0,0,0,45,1829,operational_no_truth_id
50,0.5,0,0,0,37,1864,operational_no_truth_id
100,1.0,0,0,0,37,1864,operational_no_truth_id
150,1.5,0,0,0,37,1864,operational_no_truth_id
200,2.0,0,0,0,37,1864,operational_no_truth_id
50,0.5,7576,5356,67,78,19845,operational_no_truth_id
100,1.0,7576,6000,48,78,19845,operational_no_truth_id
150,1.5,7576,6132,41,78,19845,operational_no_truth_id
200,2.0,7576,6147,35,78,19845,operational_no_truth_id
50,0.5,7040,3916,90,39,4801,operational_no_truth_id
100,1.0,7040,4429,60,39,4801,operational_no_truth_id
150,1.5,7040,4815,54,39,4801,operational_no_truth_id
200,2.0,7040,4845,49,39,4801,operational_no_truth_id
50,0.5,7210,3909,72,38,9355,operational_no_truth_id
100,1.0,7210,4326,43,38,9355,operational_no_truth_id
150,1.5,7210,4710,32,38,9355,operational_no_truth_id
200,2.0,7210,4726,29,38,9355,operational_no_truth_id
50,0.5,5982,3019,83,40,3463,operational_no_truth_id
100,1.0,5982,3439,48,40,3463,operational_no_truth_id
150,1.5,5982,3580,43,40,3463,operational_no_truth_id
200,2.0,5982,3601,34,40,3463,operational_no_truth_id
50,0.5,6340,2676,97,43,1772,operational_no_truth_id
100,1.0,6340,3413,58,43,1772,operational_no_truth_id
150,1.5,6340,3614,48,43,1772,operational_no_truth_id
200,2.0,6340,3632,42,43,1772,operational_no_truth_id
50,0.5,6082,2240,127,66,8862,operational_no_truth_id
100,1.0,6082,3130,76,66,8862,operational_no_truth_id
150,1.5,6082,3500,65,66,8862,operational_no_truth_id
200,2.0,6082,3526,56,66,8862,operational_no_truth_id
50,0.5,6363,2459,113,57,6638,operational_no_truth_id
100,1.0,6363,3253,69,57,6638,operational_no_truth_id
150,1.5,6363,3530,56,57,6638,operational_no_truth_id
200,2.0,6363,3548,50,57,6638,operational_no_truth_id
