phase,task,model_version,model,format,camera,gt_camera,metric_median,metric_p95,metric_mean,precision,recall,f1,n_faux_positifs,far_per_hour,fps,latency_mean_ms,alerts_duplicated,global_id_switches,source_csv
phase2,tad,,yolo11s,fp32_engine,cam_02,,5.52,427.04,91.862,0.1765,0.6429,0.2769,42,252.62,71.6,14.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_02\yolo11s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_02,,58.52,108.488,50.747,0.375,0.6429,0.4737,15,90.22,84.4,11.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_02\yolov8n\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_02,,6.36,81.04,23.24,0.2683,0.7857,0.4,30,180.45,109.7,9.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_02\yolov8s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_03,,0.44,175.672,44.52,0.5,0.5556,0.5263,5,30.07,79.5,12.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_03\yolo11s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_03,,0.44,1.52,0.707,0.5,0.3333,0.4,3,18.04,123.7,8.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_03\yolov8n\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_03,,0.44,62.984,16.096,0.5,0.5556,0.5263,5,30.07,113.3,8.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_03\yolov8s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_05,,4.76,185.384,42.683,0.3514,0.9286,0.5098,24,144.36,74.0,13.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_05\yolo11s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_05,,3.78,93.498,30.763,0.3871,0.8571,0.5333,19,114.28,112.9,8.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_05\yolov8n\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_05,,5.16,326.032,90.609,0.4815,0.9286,0.6341,14,84.21,113.2,8.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_05\yolov8s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_07,,2.26,63.82,14.048,0.3125,0.8333,0.4545,22,132.33,66.1,15.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_07\yolo11s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_07,,10.76,252.384,58.724,0.2368,0.75,0.36,29,174.43,109.1,9.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_07\yolov8n\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_07,,2.74,163.442,32.604,0.303,0.8333,0.4444,23,138.34,108.3,9.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_fp32_engine\cam_07\yolov8s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,rtdetr-l,pt,cam_02,,3.86,61.81,13.891,0.4667,1.0,0.6364,16,96.24,18.9,53.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_02\rtdetr-l\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_02,,4.52,163.554,34.005,0.1481,0.5714,0.2353,46,276.68,36.8,27.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_02\yolo11s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_02,,9.7,81.554,27.132,0.3571,0.7143,0.4762,18,108.27,3.5,285.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_02\yolov8n\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_02,,4.12,69.06,15.804,0.2683,0.7857,0.4,30,180.45,69.4,14.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_02\yolov8s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_03,,0.88,59.264,13.142,0.2,1.0,0.3333,36,216.53,20.1,49.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_03\rtdetr-l\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_03,,0.42,2.48,0.93,0.4444,0.4444,0.4444,5,30.07,38.2,26.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_03\yolo11s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_03,,0.44,1.52,0.707,0.4286,0.3333,0.375,4,24.06,46.2,21.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_03\yolov8n\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_03,,0.44,62.984,16.096,0.5556,0.5556,0.5556,4,24.06,73.7,13.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_03\yolov8s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_05,,2.08,154.484,30.374,0.3043,1.0,0.4667,32,192.47,18.7,53.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_05\rtdetr-l\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_05,,4.76,100.024,21.206,0.3171,0.9286,0.4727,28,168.42,37.4,26.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_05\yolo11s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_05,,3.78,234.192,57.213,0.4286,0.8571,0.5714,16,96.24,43.0,23.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_05\yolov8n\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_05,,4.78,326.436,92.78,0.48,0.8571,0.6154,13,78.19,74.8,13.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_05\yolov8s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_07,,1.1,10.122,3.62,0.3529,1.0,0.5217,22,132.33,16.4,60.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_07\rtdetr-l\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_07,,2.26,63.73,14.028,0.25,0.8333,0.3846,30,180.45,2.5,402.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_07\yolo11s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_07,,2.46,196.206,40.545,0.2857,0.6667,0.4,20,120.3,42.6,23.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_07\yolov8n\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_07,,2.32,185.852,37.284,0.303,0.8333,0.4444,23,138.34,73.9,13.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V2_pt\cam_07\yolov8s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolo11s,fp32_engine,cam_02,,5.36,100.16,26.611,0.2444,0.7857,0.3729,34,204.5,99.2,10.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_02\yolo11s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
