model_version,model,format,camera,gt_camera,tad_median,tad_p95,tad_mean,n_gt_events,n_matched,n_missed,n_faux_positifs,precision,recall,f1
V2,rtdetr-l,pt,cam_02,cam_02_20260506_131002,0.0,0.054,-0.091,14,14,0,5003,0.0028,1.0,0.0056
V2,rtdetr-l,pt,cam_03,cam_03_20260506_131002,0.0,0.544,-0.507,9,9,0,525,0.0169,1.0,0.0331
V2,rtdetr-l,pt,cam_05,cam_05_20260506_131002,0.0,0.414,0.06,14,14,0,3106,0.0045,1.0,0.0089
V2,rtdetr-l,pt,cam_07,cam_07_20260506_131002,0.0,0.368,0.027,12,12,0,6727,0.0018,1.0,0.0036
V2,yolo11n,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,5.49,0.311,14,14,0,4736,0.0029,1.0,0.0059
V2,yolo11n,fp32_engine,cam_03,cam_03_20260506_131002,0.0,6.016,0.893,9,9,0,136,0.0621,1.0,0.1169
V2,yolo11n,fp32_engine,cam_05,cam_05_20260506_131002,0.0,0.288,-0.126,14,13,1,6269,0.0021,0.9286,0.0041
V2,yolo11n,fp32_engine,cam_07,cam_07_20260506_131002,0.76,6.44,1.338,12,9,3,179,0.0479,0.75,0.09
V2,yolo11n,pt,cam_02,cam_02_20260506_131002,-0.04,2.82,0.357,14,14,0,3252,0.0043,1.0,0.0085
V2,yolo11n,pt,cam_03,cam_03_20260506_131002,-0.02,7.36,1.185,9,8,1,48,0.1429,0.8889,0.2462
V2,yolo11n,pt,cam_05,cam_05_20260506_131002,-0.02,0.098,-0.293,14,12,2,6146,0.0019,0.8571,0.0039
V2,yolo11n,pt,cam_07,cam_07_20260506_131002,0.68,6.712,1.436,12,9,3,119,0.0703,0.75,0.1286
V2,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,0.12,4.968,0.951,14,13,1,6406,0.002,0.9286,0.004
V2,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.28,6.588,1.04,9,7,2,110,0.0598,0.7778,0.1111
V2,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,0.4,5.444,1.366,14,14,0,2907,0.0048,1.0,0.0095
V2,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.16,8.988,2.373,12,12,0,401,0.0291,1.0,0.0565
V2,yolo11s,pt,cam_02,cam_02_20260506_131002,0.08,1.992,0.254,14,14,0,5435,0.0026,1.0,0.0051
V2,yolo11s,pt,cam_03,cam_03_20260506_131002,0.22,7.23,1.993,9,6,3,93,0.0606,0.6667,0.1111
V2,yolo11s,pt,cam_05,cam_05_20260506_131002,0.16,5.288,0.974,14,14,0,2926,0.0048,1.0,0.0095
V2,yolo11s,pt,cam_07,cam_07_20260506_131002,1.14,8.988,2.387,12,12,0,505,0.0232,1.0,0.0454
V2,yolo26n,fp32_engine,cam_02,cam_02_20260506_131002,1.12,4.424,1.486,14,7,7,152,0.044,0.5,0.0809
V2,yolo26n,fp32_engine,cam_03,cam_03_20260506_131002,1.44,2.524,1.64,9,4,5,11,0.2667,0.4444,0.3333
V2,yolo26n,fp32_engine,cam_05,cam_05_20260506_131002,3.14,6.524,2.665,14,8,6,759,0.0104,0.5714,0.0205
V2,yolo26n,fp32_engine,cam_07,cam_07_20260506_131002,2.48,5.144,2.217,12,7,5,57,0.1094,0.5833,0.1842
V2,yolo26n,pt,cam_02,cam_02_20260506_131002,-0.8,2.678,-1.19,14,8,6,2194,0.0036,0.5714,0.0072
V2,yolo26n,pt,cam_03,cam_03_20260506_131002,1.44,2.7,1.76,9,3,6,1,0.75,0.3333,0.4615
V2,yolo26n,pt,cam_05,cam_05_20260506_131002,1.36,6.204,2.629,14,7,7,531,0.013,0.5,0.0254
V2,yolo26n,pt,cam_07,cam_07_20260506_131002,5.28,5.28,5.28,12,1,11,30,0.0323,0.0833,0.0465
V2,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.0,2.82,0.546,14,14,0,7526,0.0019,1.0,0.0037
V2,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.18,6.378,0.85,9,8,1,69,0.1039,0.8889,0.186
V2,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,0.02,2.828,0.497,14,12,2,1604,0.0074,0.8571,0.0147
V2,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.6,7.924,1.752,12,10,2,731,0.0135,0.8333,0.0266
V2,yolov8n,pt,cam_02,cam_02_20260506_131002,0.0,0.832,0.137,14,14,0,6589,0.0021,1.0,0.0042
V2,yolov8n,pt,cam_03,cam_03_20260506_131002,0.88,7.956,2.72,9,4,5,30,0.1176,0.4444,0.186
V2,yolov8n,pt,cam_05,cam_05_20260506_131002,0.06,2.234,0.4,14,12,2,2554,0.0047,0.8571,0.0093
V2,yolov8n,pt,cam_07,cam_07_20260506_131002,0.78,8.578,2.393,12,12,0,550,0.0214,1.0,0.0418
V2,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,2.004,0.243,14,14,0,813,0.0169,1.0,0.0333
V2,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,0.24,7.382,1.67,9,8,1,126,0.0597,0.8889,0.1119
V2,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,0.16,1.28,0.215,14,11,3,387,0.0276,0.7857,0.0534
V2,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.8,7.886,1.727,12,12,0,371,0.0313,1.0,0.0608
V2,yolov8s,pt,cam_02,cam_02_20260506_131002,-0.02,2.004,0.183,14,14,0,847,0.0163,1.0,0.032
V2,yolov8s,pt,cam_03,cam_03_20260506_131002,0.0,6.704,1.389,9,7,2,75,0.0854,0.7778,0.1538
V2,yolov8s,pt,cam_05,cam_05_20260506_131002,0.0,1.3,0.153,14,11,3,363,0.0294,0.7857,0.0567
V2,yolov8s,pt,cam_07,cam_07_20260506_131002,1.24,7.16,2.077,12,12,0,449,0.026,1.0,0.0507
V3,rtdetr-l,pt,cam_02,cam_02_20260506_131002,0.0,0.136,-0.043,14,14,0,7935,0.0018,1.0,0.0035
V3,rtdetr-l,pt,cam_03,cam_03_20260506_131002,0.0,5.232,0.876,9,9,0,422,0.0209,1.0,0.0409
V3,rtdetr-l,pt,cam_05,cam_05_20260506_131002,0.0,0.28,-0.0,14,14,0,3229,0.0043,1.0,0.0086
V3,rtdetr-l,pt,cam_07,cam_07_20260506_131002,0.0,0.268,0.04,12,12,0,7107,0.0017,1.0,0.0034
V3,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,1.21,-0.026,14,14,0,1199,0.0115,1.0,0.0228
V3,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.18,6.434,0.885,9,8,1,88,0.0833,0.8889,0.1524
V3,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,0.04,3.488,0.785,14,13,1,456,0.0277,0.9286,0.0538
V3,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,0.1,4.956,1.123,12,12,0,2853,0.0042,1.0,0.0083
V3,yolo11s,pt,cam_02,cam_02_20260506_131002,0.0,4.274,0.474,14,14,0,902,0.0153,1.0,0.0301
V3,yolo11s,pt,cam_03,cam_03_20260506_131002,0.2,6.168,0.875,9,8,1,109,0.0684,0.8889,0.127
V3,yolo11s,pt,cam_05,cam_05_20260506_131002,0.06,1.292,0.086,14,14,0,3120,0.0045,1.0,0.0089
V3,yolo11s,pt,cam_07,cam_07_20260506_131002,0.04,5.152,0.893,12,12,0,5062,0.0024,1.0,0.0047
V3,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.18,3.76,0.929,14,14,0,471,0.0289,1.0,0.0561
V3,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.56,6.76,1.623,9,7,2,23,0.2333,0.7778,0.359
V3,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,0.16,1.536,0.194,14,13,1,434,0.0291,0.9286,0.0564
V3,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.0,1.54,0.36,12,11,1,2390,0.0046,0.9167,0.0091
V3,yolov8n,pt,cam_02,cam_02_20260506_131002,0.0,1.976,0.391,14,13,1,517,0.0245,0.9286,0.0478
V3,yolov8n,pt,cam_03,cam_03_20260506_131002,0.2,6.544,1.055,9,8,1,70,0.1026,0.8889,0.1839
