model_version,model,format,camera,gt_camera,trd_median,trd_p95,trd_mean,n_gt_events,n_matched,n_missed,n_faux_positifs,precision,recall,f1
V2,rtdetr-l,pt,cam_02,cam_02_20260506_131002,5.26,6.214,5.26,6,2,4,4,0.3333,0.3333,0.3333
V2,rtdetr-l,pt,cam_03,cam_03_20260506_131002,-0.24,1.592,-0.046,7,7,0,7,0.5,1.0,0.6667
V2,rtdetr-l,pt,cam_05,cam_05_20260506_131002,-0.9,-0.63,-0.9,7,2,5,2,0.5,0.2857,0.3636
V2,rtdetr-l,pt,cam_07,cam_07_20260506_131002,6.32,8.084,6.32,7,2,5,0,1.0,0.2857,0.4444
V2,yolo11n,fp32_engine,cam_02,cam_02_20260506_131002,,,,6,0,6,5,0.0,0.0,0.0
V2,yolo11n,fp32_engine,cam_03,cam_03_20260506_131002,0.36,2.84,0.6,7,6,1,2,0.75,0.8571,0.8
V2,yolo11n,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,0.84,-0.4,7,3,4,1,0.75,0.4286,0.5455
V2,yolo11n,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,7,2,5,0,1.0,0.2857,0.4444
V2,yolo11n,pt,cam_02,cam_02_20260506_131002,4.48,4.48,4.48,6,1,5,4,0.2,0.1667,0.1818
V2,yolo11n,pt,cam_03,cam_03_20260506_131002,-0.18,1.97,0.053,7,6,1,3,0.6667,0.8571,0.75
V2,yolo11n,pt,cam_05,cam_05_20260506_131002,-0.4,0.86,-0.333,7,3,4,1,0.75,0.4286,0.5455
V2,yolo11n,pt,cam_07,cam_07_20260506_131002,-4.4,-4.4,-4.4,7,1,6,1,0.5,0.1429,0.2222
V2,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,4.08,4.08,4.08,6,1,5,2,0.3333,0.1667,0.2222
V2,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.38,0.742,0.28,7,4,3,2,0.6667,0.5714,0.6154
V2,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,-0.528,-0.787,7,3,4,4,0.4286,0.4286,0.4286
V2,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,7,2,5,0,1.0,0.2857,0.4444
V2,yolo11s,pt,cam_02,cam_02_20260506_131002,,,,6,0,6,3,0.0,0.0,0.0
V2,yolo11s,pt,cam_03,cam_03_20260506_131002,-0.12,0.562,-0.06,7,4,3,4,0.5,0.5714,0.5333
V2,yolo11s,pt,cam_05,cam_05_20260506_131002,-0.76,-0.616,-0.867,7,3,4,2,0.6,0.4286,0.5
V2,yolo11s,pt,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,7,2,5,0,1.0,0.2857,0.4444
V2,yolo26n,fp32_engine,cam_02,cam_02_20260506_131002,-0.56,-0.56,-0.56,6,1,5,4,0.2,0.1667,0.1818
V2,yolo26n,fp32_engine,cam_03,cam_03_20260506_131002,-0.4,0.068,-0.24,7,3,4,0,1.0,0.4286,0.6
V2,yolo26n,fp32_engine,cam_05,cam_05_20260506_131002,-0.68,-0.158,-0.77,7,4,3,2,0.6667,0.5714,0.6154
V2,yolo26n,fp32_engine,cam_07,cam_07_20260506_131002,1.3,4.054,1.3,7,2,5,0,1.0,0.2857,0.4444
V2,yolo26n,pt,cam_02,cam_02_20260506_131002,1.82,3.962,1.82,6,2,4,1,0.6667,0.3333,0.4444
V2,yolo26n,pt,cam_03,cam_03_20260506_131002,0.16,2.628,0.623,7,7,0,9,0.4375,1.0,0.6087
