model_version,model,format,frames,detections,alerts,fusion_links,unique_global_ids,global_id_switches,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_max_ms
V2,rtdetr-l,pt,14963,46967,18017,32184,582,73,46.196,46.208,62.58,1055.959
V2,rtdetr-l,fp32_engine,0,0,0,0,0,0,0.0,0.0,0.0,0.0
V2,yolo11n,pt,14963,41098,10001,28815,228,54,21.27,21.042,29.473,208.624
V2,yolo11n,fp32_engine,14963,32574,11586,24623,225,49,12.025,11.511,16.867,770.618
V2,yolo11s,pt,14963,41991,9108,26313,171,51,23.755,23.163,32.199,426.204
V2,yolo11s,fp32_engine,14963,30604,9946,20475,196,38,13.786,13.671,17.624,310.341
V2,yolo26n,pt,14963,22285,2822,17827,111,22,23.801,23.487,33.136,1103.303
V2,yolo26n,fp32_engine,14963,20215,1063,16647,120,25,12.738,12.368,16.134,167.518
V2,yolov8n,pt,14963,32433,10270,26565,225,60,21.072,20.352,28.479,170.193
V2,yolov8n,fp32_engine,14963,31343,10495,22941,232,50,12.538,12.255,16.814,169.834
V2,yolov8s,pt,14963,23915,1864,23401,204,37,20.461,19.613,27.855,413.968
V2,yolov8s,fp32_engine,14963,26946,1829,20624,246,45,32.167,13.852,46.448,573098.131
V3,rtdetr-l,pt,14963,38441,19845,22739,514,78,63.411,61.465,73.846,35345.749
V3,rtdetr-l,fp32_engine,0,0,0,0,0,0,0.0,0.0,0.0,0.0
V3,yolo11s,pt,14963,23262,9355,9716,271,38,22.845,22.267,32.758,417.072
V3,yolo11s,fp32_engine,14963,18865,4801,10726,238,39,13.129,12.663,16.309,305.236
V3,yolov8n,pt,14963,12972,1772,6951,214,43,27.038,22.887,30.554,181568.396
V3,yolov8n,fp32_engine,14963,14510,3463,7736,172,40,16.691,12.377,17.32,138602.886
V3,yolov8s,pt,14963,17563,6638,6788,268,57,24.687,23.071,37.748,6065.778
V3,yolov8s,fp32_engine,14963,19475,8862,6459,262,66,9.693,9.363,12.156,148.219
